City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
629,Singkawang,ID,76.77,overcast clouds,0.9,109.0,Capital O 1822 Wahana Inn
630,Alyangula,AU,82.65,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
631,Marsh Harbour,BS,76.86,few clouds,26.5412,-77.0636,Abaco Beach Resort
634,Buin,CL,77.0,clear sky,-33.7333,-70.75,Paihuen
636,Inongo,CD,79.77,overcast clouds,-1.95,18.2667,Hotel Du Lac
639,Rodrigues Alves,BR,82.4,broken clouds,-7.7379999999999995,-72.6509,Pousada Aconchego
640,Bandarbeyla,SO,80.2,few clouds,9.4942,50.8122,JABIR HOTEL
641,Vaitape,PF,82.47,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
644,Luis Correia,BR,86.0,scattered clouds,-2.8792,-41.6669,Hotel Amarração
647,Santa Cruz,BO,87.8,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
650,Hambantota,LK,77.0,scattered clouds,6.1241,81.1185,Bungalow 63
656,Puerto Escondido,MX,78.8,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
657,Harlingen,US,78.8,overcast clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
661,Alto Araguaia,BR,83.55,scattered clouds,-17.3147,-53.2153,Araguaia Palace Hotel
662,Nisia Floresta,BR,84.2,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
666,San Felipe,VE,78.01,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
667,Kuala Terengganu,MY,82.4,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
669,Ambulu,ID,77.65,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
679,Pilar,BR,78.8,mist,-9.5972,-35.9567,Pousada e churrascaria Manguaba
681,Olinda,BR,82.4,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
683,Champerico,GT,84.2,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
685,Garh Maharaja,PK,83.68,clear sky,30.8339,71.9053,Zaki Pansar Shop
